Menu ID,NomeLocale,TipologiaLocale,City,venue_address,venue_city,venue_country,venue_state,venue_rating,Sezione_drink_list,Category Name,Item_Name,Description,Price,ingredients_brand_owner,ingredients_brand,Broad_category,ingredients_categoria,Sub_Category,Ranking_Top4
943,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Enigma,"Michter's Bourbon, Cognac, Chartreuse gialla, Amaro Santoni, Venturo, zucchero, Fake lime",25,Unknown,Santoni,SPIRITS,Amari,Amari,NO
944,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,David,"Mezcal Los Siete Misterios, Amaro Santoni, spinaci, melissa, mandorle, zenzero, zucchero, Sale, citrus",25,Unknown,Santoni,SPIRITS,Amari,Amari,NO
945,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Bvlgari Cocktail,"Gin, Aperol, arancia, ananas, lime",25,Unknown,Unknown,Unknown,Unknown,Unknown,NO
946,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,ESTRATTI E SPREMUTE BIOLOGICHE,Soft_Drinks,Super Green,"ananas, spinaci, finocchio, sedano",18,Unknown,Unknown,Unknown,Unknown,Unknown,YES
947,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,ESTRATTI E SPREMUTE BIOLOGICHE,Soft_Drinks,Refreshing,"ananas, mela, limone, zenzero, curcuma",18,Unknown,Unknown,Unknown,Unknown,Unknown,YES
948,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SMOOTHIES,Soft_Drinks,"Mango, frutti rossi, ananas","Mango, frutti rossi, ananas",18,Unknown,Unknown,Unknown,Unknown,Unknown,YES
949,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Bvlgari Cocktail,"Gin, Aperol, arancia, ananas, lime",,Unknown,Unknown,Unknown,Unknown,Unknown,NO
950,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,ESTRATTI E SPREMUTE BIOLOGICHE,Soft_Drinks,Super Green,"ananas, spinaci, finocchio, sedano",,Unknown,Unknown,Unknown,Unknown,Unknown,YES
951,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,ESTRATTI E SPREMUTE BIOLOGICHE,Soft_Drinks,Refreshing,"ananas, mela, limone, zenzero, curcuma",,Unknown,Unknown,Unknown,Unknown,Unknown,YES
952,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Eclipse,"Appleton 15 y, Pisco 1615, Campari Cask Tales, La Tomato, pimento, fake lime",25,Campari Group,Appleton 15 yo,SPIRITS,Rum,Rum,NO
953,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Eclipse,"Appleton 15 y, Pisco 1615, Campari Cask Tales, La Tomato, pimento, fake lime",,Campari Group,Appleton 15 yo,SPIRITS,Rum,Rum,NO
954,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,RUM,Rum,Appleton 21 years,,40,Campari Group,Appleton 21 yo,SPIRITS,Rum,Rum,NO
955,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,RUM,Rum,Appleton 21 years,,,Campari Group,Appleton 21 yo,SPIRITS,Rum,Rum,NO
956,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,WHISKY,Whisky,Ardbeg 10 years,,20,LVMH,Ardbeg 10 yo,SPIRITS,Scotch Whisky,Scotch Whisky,YES
957,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,WHISKY,Whisky,Ardbeg 10 years,,,LVMH,Ardbeg 10 yo,SPIRITS,Scotch Whisky,Scotch Whisky,YES
958,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,WHISKY,Whisky,Ardbeg Grooves Limited edition,,55,LVMH,Ardbeg,SPIRITS,Scotch Whisky,Scotch Whisky,YES
959,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,WHISKY,Whisky,Ardbeg Grooves Limited edition,,,LVMH,Ardbeg,SPIRITS,Scotch Whisky,Scotch Whisky,YES
960,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SELEZIONI DI TÈ BIOLOGICO E CAFFETTERIA,Other,Mountain Berry,"bacche di Saskatoon, ribes rosso, ribes nero, uvetta, mirtilli selvatici",15,Unknown,Bacche Di Saskatoon,OTHER,Ingredients,Ingredients,NO
961,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SMOOTHIES,Soft_Drinks,"Banana, papaya, pera","Banana, papaya, pera",18,Unknown,Banana,OTHER,Ingredients,Ingredients,YES
962,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SMOOTHIES,Soft_Drinks,"Banana, papaya, pera",,,Unknown,"Banana, Papaya, Pera",OTHER,Ingredients,Ingredients,YES
963,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Etereus,"Tanqueray Ten, Muyu Vetiver, Mastiha, barbabietola, borragine, zucchero, Soda alle foglie di agrumi",25,Unknown,Barbabietola,OTHER,Ingredients,Ingredients,NO
964,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,ARMAGNAC,Brandy,Bas Armagnac Folle Blanche Domaine Boignéres 1986,,,Unknown,Bas Armagnac Folle Blanche Domaine Boign�res 1986,SPIRITS,Armagnac,Armagnac,YES
965,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,ARMAGNAC,Brandy,Bas Armagnac Folle Blanche Domaine Boignères 1986,,45,Unknown,Bas Armagnac Folle Blanche Domaine Boign�res 1986,SPIRITS,Armagnac,Armagnac,YES
966,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SPUMANTI E CHAMPAGNE,Sparkling_Wine,"Bellavista, Franciacorta Alma Brut",,25,Unknown,"Bellavista, Franciacorta Alma Brut",WINE,Wine,Wine,YES
967,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,VINI AL BICCHIERE,Wine,"Bellavista, Franciacorta Alma Brut",,,Unknown,"Bellavista, Franciacorta Alma Brut",WINE,Wine,Wine,YES
968,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SPUMANTI E CHAMPAGNE,Sparkling_Wine,"Bellavista, Franciacorta Rosé",,30,Unknown,"Bellavista, Franciacorta Ros�",WINE,Wine,Wine,YES
969,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,VINI AL BICCHIERE,Wine,"Bellavista, Franciacorta Rosé",,,Unknown,"Bellavista, Franciacorta Ros�",WINE,Wine,Wine,YES
970,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SELEZIONI DI TÈ BIOLOGICO E CAFFETTERIA,Other,Imperial Earl Grey,"tè nero di Ceylon, bergamotto",15,Unknown,Bergamotto,OTHER,Ingredients,Ingredients,NO
971,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SOFT DRINKS,Soft_Drinks,Bibite,,,Unknown,Bibite,SOFT DRINK,Generic Product,Generic Product,NO
972,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SPUMANTI E CHAMPAGNE,Sparkling_Wine,Billecart Salmon Brut Réserve,,34,Velier,Billecart Salmon Brut R�serve,WINE,Champagne,Champagne,NO
973,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,VINI AL BICCHIERE,Wine,Billecart Salmon Brut Réserve,,,Velier,Billecart Salmon Brut R�serve,WINE,Champagne,Champagne,NO
974,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,BEERS,Beer,Birra Analcolica,,15,Unknown,Birra Analcolica,BEER,Generic Product,Generic Product,NO
975,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,BEERS,Beer,Birra Analcolica,,,Unknown,Birra Analcolica,BEER,Generic Product,Generic Product,NO
976,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,BELVEDERE MARTINI EXPERIENCE,Cocktail,Belvedere 10 Martini,"Belvedere 10, Blend Dry Vermouths",25,Unknown,Blend Dry Vermouths,OTHER,Generic Product,Generic Product,NO
977,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,BELVEDERE MARTINI EXPERIENCE,Cocktail,Belvedere 10 Martini,"Belvedere 10, Blend Dry Vermouths",,Unknown,Blend Dry Vermouths,OTHER,Generic Product,Generic Product,NO
978,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SPUMANTI E CHAMPAGNE,Sparkling_Wine,"Bollinger, Special Cuvée Brut S.A.",,38,Unknown,"Bollinger, Special Cuv�e Brut S.a.",WINE,Champagne,Champagne,NO
979,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,VINI AL BICCHIERE,Wine,"Bollinger, Special Cuvée Brut S.A.",,,Unknown,"Bollinger, Special Cuv�e Brut S.a.",WINE,Champagne,Champagne,NO
980,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Etereus,"Tanqueray Ten, Muyu Vetiver, Mastiha, barbabietola, borragine, zucchero, Soda alle foglie di agrumi",25,Unknown,Borragine,OTHER,Generic Product,Generic Product,NO
981,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,MOCKTAILS,Mocktail,Bitter Symphony,"Everleaf Forest, Roots divino rosso, BTTR, Lime cordial, Franklin light",22,Onesti Group,Bttr,LOW/NO ALCOHOL,Aperitivi,Aperitivi,NO
982,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,MOCKTAILS,Mocktail,Bitter Symphony,"Everleaf Forest, Roots divino rosso, BTTR, Lime cordial, Franklin light",,Onesti Group,Bttr,LOW/NO ALCOHOL,Aperitivi,Aperitivi,NO
983,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SELEZIONI DI TÈ BIOLOGICO E CAFFETTERIA,Other,Bvlgari Dolce,,,Unknown,Bvlgari Dolce,OTHER,Generic Product,Generic Product,NO
984,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SPUMANTI E CHAMPAGNE,Sparkling_Wine,"Ca' del Bosco, Franciacorta Cuvée Prestige Brut S.A.",,25,Ca del Bosco,"Ca' Del Bosco, Franciacorta Cuv�e Prestige Brut S.a.",WINE,Champagne,Champagne,YES
985,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milan,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,VINI AL BICCHIERE,Wine,"Ca' del Bosco, Franciacorta Cuvée Prestige Brut S.A.",,,Ca del Bosco,"Ca' Del Bosco, Franciacorta Cuv�e Prestige Brut S.a.",WINE,Champagne,Champagne,YES
986,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Bvlgari Cocktail,"Gin, Aperol, arancia, ananas, lime",25,Bacardi Martini,Bombay Saphire,SPIRITS,Gin,Gin,NO
987,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Bvlgari Cocktail,"Gin, Aperol, arancia, ananas, lime",25,Campari Group,Aperol,SPIRITS,Aperitivi,Aperitivi,NO
988,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Bvlgari Cocktail,"Gin, Aperol, arancia, ananas, lime",25,Unknown,arancia,MIXER,Ingredients,Ingredients,NO
989,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Bvlgari Cocktail,"Gin, Aperol, arancia, ananas, lime",25,Unknown,lime,OTHER,Ingredients,Ingredients,NO
990,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Etereus,"Tanqueray Ten, Muyu Vetiver, Mastiha, barbabietola, borragine, zucchero, Soda alle foglie di agrumi",25,Diageo,Tanqueray N. Ten,SPIRITS,Gin,Gin,NO
991,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Etereus,"Tanqueray Ten, Muyu Vetiver, Mastiha, barbabietola, borragine, zucchero, Soda alle foglie di agrumi",25,Unknown,zucchero,MIXER,Ingredients,Ingredients,NO
992,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Etereus,"Tanqueray Ten, Muyu Vetiver, Mastiha, barbabietola, borragine, zucchero, Soda alle foglie di agrumi",25,Unknown,Soda Alle Foglie Di Agrumi,SOFT DRINK,Mixers,Mixers,NO
993,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Anima,"Hendrick's, Select, rose, zucchero, citrus, Match Tonic Water Floral",25,Velier,Hendricks Gin,SPIRITS,Gin,Gin,NO
994,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Anima,"Hendrick's, Select, rose, zucchero, citrus, Match Tonic Water Floral",25,Gruppo Montenegro,Select,SPIRITS,Aperitivi,Aperitivi,NO
995,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Anima,"Hendrick's, Select, rose, zucchero, citrus, Match Tonic Water Floral",25,Coca Cola HBC,Glendalough Ros�,SPIRITS,Gin,Gin,NO
996,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Anima,"Hendrick's, Select, rose, zucchero, citrus, Match Tonic Water Floral",25,Unknown,zucchero,MIXER,Ingredients,Ingredients,NO
997,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Anima,"Hendrick's, Select, rose, zucchero, citrus, Match Tonic Water Floral",25,Coca Cola HBC,Brokers Citrus,SPIRITS,Gin,Gin,NO
998,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Anima,"Hendrick's, Select, rose, zucchero, citrus, Match Tonic Water Floral",25,Compagnia Dei Caraibi,Match Tonic Water Floral,SOFT DRINK,Mixers,Mixers,NO
999,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Enigma,"Michter's Bourbon, Cognac, Chartreuse gialla, Amaro Santoni, Venturo, zucchero, Fake lime",25,Diageo,Venturo Aperitivo,SPIRITS,Aperitivi,Aperitivi,NO
1000,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Enigma,"Michter's Bourbon, Cognac, Chartreuse gialla, Amaro Santoni, Venturo, zucchero, Fake lime",25,Unknown,zucchero,MIXER,Ingredients,Ingredients,NO
1001,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Enigma,"Michter's Bourbon, Cognac, Chartreuse gialla, Amaro Santoni, Venturo, zucchero, Fake lime",25,Unknown,Fake Lime,OTHER,Generic Product,Generic Product,NO
1002,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Omnia,"Bulldog, Cynar, Cocchi Extra Dry, rosmarino, zucchero, fake lime",25,Campari Group,Bull Dog,SPIRITS,Gin,Gin,NO
1003,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Omnia,"Bulldog, Cynar, Cocchi Extra Dry, rosmarino, zucchero, fake lime",25,Campari Group,Cynar,SPIRITS,Amari,Amari,NO
1004,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Omnia,"Bulldog, Cynar, Cocchi Extra Dry, rosmarino, zucchero, fake lime",25,Unknown,zucchero,MIXER,Ingredients,Ingredients,NO
1005,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Omnia,"Bulldog, Cynar, Cocchi Extra Dry, rosmarino, zucchero, fake lime",25,Unknown,Fake Lime,OTHER,Generic Product,Generic Product,NO
1006,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Venere,"Zacapa 23, Mirto, mela, zucchero, lamponi, citrus",25,Diageo,Zacapa Xo,SPIRITS,Rum,Rum,NO
1007,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Venere,"Zacapa 23, Mirto, mela, zucchero, lamponi, citrus",25,Coca Cola HBC,Mirto Silvio Carta Pilloni Rosso,SPIRITS,Liquori,Liquori,NO
1008,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Venere,"Zacapa 23, Mirto, mela, zucchero, lamponi, citrus",25,Stock,Keglevich Mela Verde,SPIRITS,Vodka,Vodka,NO
1009,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Venere,"Zacapa 23, Mirto, mela, zucchero, lamponi, citrus",25,Unknown,zucchero,MIXER,Ingredients,Ingredients,NO
1010,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Venere,"Zacapa 23, Mirto, mela, zucchero, lamponi, citrus",25,Coca Cola HBC,Brokers Citrus,SPIRITS,Gin,Gin,NO
1011,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Eclipse,"Appleton 15 y, Pisco 1615, Campari Cask Tales, La Tomato, pimento, fake lime",25,Campari Group,Campari Cask Tales,SPIRITS,Bitter,Bitter,NO
1012,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Eclipse,"Appleton 15 y, Pisco 1615, Campari Cask Tales, La Tomato, pimento, fake lime",25,Unknown,Fake Lime,OTHER,Generic Product,Generic Product,NO
1013,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Materia,"Casamigos Blanco, Cocchi Extra Dry, Acqua Bianca, Lapsang, zucchero, fake lime",25,Diageo,Casamigos Blanco,SPIRITS,Tequila,Tequila,NO
1014,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Materia,"Casamigos Blanco, Cocchi Extra Dry, Acqua Bianca, Lapsang, zucchero, fake lime",25,Unknown,Acqua Bianca,OTHER,Ingredients,Ingredients,NO
1015,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Materia,"Casamigos Blanco, Cocchi Extra Dry, Acqua Bianca, Lapsang, zucchero, fake lime",25,Unknown,zucchero,MIXER,Ingredients,Ingredients,NO
1016,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,Materia,"Casamigos Blanco, Cocchi Extra Dry, Acqua Bianca, Lapsang, zucchero, fake lime",25,Unknown,Fake Lime,OTHER,Generic Product,Generic Product,NO
1017,"Bar ""Il Girasole"" - Amazon Counter",cocktail bar,Milano,"Via dei Panigarola, 2, 20139 Milano MI, Italy",Milan,IT,Metropolitan City of Milan,3.5,SIGNATURE COCKTAILS,Signature_Cocktails,David,"Mezcal Los Siete Misterios, Amaro Santoni, spinaci, melissa, mandorle, zenzero, zucchero, Sale, citrus",25,Unknown,zenzero,MIXER,Ingredients,Ingredients,NO
